bookname,n,k,m,count1,count2,count3,user,sys,real
madame-bovary,112972,4,100000,1796279,1686428,103341,440.0,40.0,1721.0
madame-bovary,112972,4,500000,1796279,1976511,121121,344.0,8.0,1739.0
madame-bovary,112972,5,1000,1796279,16857,1001,108.0,0.0,135.0
madame-bovary,112972,5,10000,1796279,168556,10060,128.0,0.0,166.0
madame-bovary,112972,5,100000,1796279,1686275,100397,328.0,8.0,733.0
madame-bovary,112972,5,500000,1796279,1142169,68261,248.0,8.0,1166.0
madame-bovary,112972,6,1000,1796279,16856,1000,108.0,0.0,116.0
madame-bovary,112972,6,10000,1796279,168666,10006,140.0,0.0,453.0
madame-bovary,112972,6,100000,1796279,1686241,100102,340.0,4.0,833.0
madame-bovary,112972,6,500000,1796279,2251003,133899,420.0,0.0,940.0
madame-bovary,112972,7,1000,1796279,16856,1000,104.0,4.0,128.0
madame-bovary,112972,7,10000,1796279,168693,10000,132.0,12.0,164.0
madame-bovary,112972,7,100000,1796279,1043031,61873,252.0,8.0,1054.0
madame-bovary,112972,7,500000,1796279,800959,47517,200.0,0.0,391.0
zadig,26046,2,1000,349642,14752,3798,20.0,0.0,230.0
zadig,26046,2,10000,349642,147357,39975,48.0,4.0,192.0
zadig,26046,2,100000,349642,950666,258961,120.0,0.0,682.0
zadig,26046,2,500000,349642,233089,63392,44.0,0.0,104.0
zadig,26046,3,1000,349639,14750,1144,20.0,4.0,86.0
zadig,26046,3,10000,349639,147402,11069,32.0,4.0,131.0
zadig,26046,3,100000,349639,266383,20104,48.0,0.0,64.0
zadig,26046,3,500000,349639,621350,46805,84.0,0.0,405.0
zadig,26046,4,1000,349638,14734,1013,20.0,0.0,44.0
zadig,26046,4,10000,349638,147375,10139,36.0,4.0,98.0
zadig,26046,4,100000,349638,64268,4430,28.0,0.0,41.0
zadig,26046,4,500000,349638,240667,16586,48.0,4.0,998.0
zadig,26046,5,1000,349638,14735,1001,20.0,0.0,50.0
zadig,26046,5,10000,349638,147413,10033,36.0,0.0,65.0
zadig,26046,5,100000,349638,58897,4012,28.0,0.0,60.0
zadig,26046,5,500000,349638,390245,26551,68.0,0.0,189.0
zadig,26046,6,1000,349638,14735,1000,24.0,0.0,223.0
zadig,26046,6,10000,349638,104587,7102,28.0,4.0,47.0
zadig,26046,6,100000,349638,84253,5719,36.0,0.0,114.0
zadig,26046,6,500000,349638,91031,6180,32.0,0.0,85.0
zadig,26046,7,1000,349638,14735,1000,20.0,0.0,545.0
zadig,26046,7,10000,349638,91016,6176,32.0,0.0,91.0
zadig,26046,7,100000,349638,926957,62934,128.0,20.0,449.0
zadig,26046,7,500000,349638,91016,6176,28.0,4.0,163.0
don-quixote,404461,2,1000,7024485,18716,66720,424.0,8.0,989.0
don-quixote,404461,2,10000,7024485,187089,717499,608.0,20.0,1087.0
don-quixote,404461,2,100000,7024485,1871274,7339125,1132.0,20.0,1937.0
don-quixote,404461,2,500000,7024485,6886257,27115381,3604.0,132.0,9108.0
don-quixote,404461,3,1000,7024519,18713,3003,420.0,0.0,627.0
don-quixote,404461,3,10000,7024519,187013,32784,456.0,8.0,4252.0
